,Domaine,Titre,Definition,Competences_Emploi,Acces_Emploi,Appellations
209,industrie,design industriel h1204,concoit ou ameliore l'esthetique (forme  matieres  couleurs) et la fonctionnalite de produits (mobilier  objets utilitaires  audiovisuels  ...) selon l'image de l'entreprise  le contexte socioculturel  les contraintes (economiques  de production ...). respecte les normes de securite  d'environnement et le droit de la propriete industrielle et artistique. peut se specialiser dans le design d'un ou plusieurs produits (ameublement  art de la table  automobile  ...)  de services (bornes interactives ...)  d'emballages ou effectuer l'identite visuelle du produit ou de l'entreprise. peut realiser la modelisation et les prototypes du produit et participer au suivi de la fabrication du projet. peut coordonner une equipe  diriger un service ou une structure. ,competences de base savoir-faire savoirs definir le concept  la thematique d'un produit identifier les contraintes d'un projet etudier la fonctionnalite d'un produit operer des choix techniques  esthetiques  economiques pour un produit dessiner des avant-projets (roughs  croquis) a partir du concept  des themes definis selectionner des materiaux ou matieres pour un projet presenter une maquette  prototype a un client evaluer la conformite artistique et technique de modeles  prototypes presenter un nouveau produit a differents intervenants veille informationnelle droit de la propriete intellectuelle dessin industriel normes environnementales eco-conception analyse du cycle de vie - acv des produits sociologie ergonomie gestion de projet marketing   mercatique harmonisation des couleurs perception des volumes chiffrage calcul de cout rough dessin d'expression publication assistee par ordinateur (pao) conception et dessin assistes par ordinateur (cao dao) utilisation de palette graphique ,emploi  metier avec_diplome_bac+2 dut l2 master master recherche diplome_ecole_superieure arts appliques diplome_ingenieur arts appliques creation industrielle arts techniques design industriel avec_formation_technique ebenisterie orfevrerie lunetterie presentation book creations langues etrangeres maitrise outil informatique palette graphique logiciel conception dessin assistes ordinateur cao dao images synthese,chef de produits design chef de projet design concepteur designer   conceptrice designeuse designer designer   designeuse automobile designer   designeuse ergonome designer   designeuse junior designer   designeuse maquettiste designer   designeuse mobilier designer   designeuse produit designer-chef   designeuse-chef de projet designer createur   designeuse creatrice designer industriel   designeuse industrielle designer manager designer packaging dessinateur   dessinatrice en art de la table directeur   directrice artistique en design produit directeur   directrice de creation designer roughman   roughwoman en design styliste transport 
210,industrie,etudes - modeles en industrie des materiaux souples h1205,realise la mise au point technique et qualitative d'articles (confection textile  maroquinerie  chaussures  ...) par modification ou creation de patrons modeles en fonction d'un cahier des charges ou d'un croquis  d'une figurine de style en vue d'une production en serie. intervient selon les normes de fabrication (normalisation des tailles  ...) et les imperatifs de production (delais  cout  qualite  ...). peut creer de nouveaux modeles  realiser une etude de style  le patronage (gradation taille par taille) d'articles ou realiser des prototypes. peut coordonner une equipe. ,competences de base savoir-faire savoirs identifier les particularites d'execution du modele definir les possibilites de realisation adapter un patron gabarit a partir du croquis realiser les fiches techniques des articles (montage  matieres  type de piqure  ...) ou presenter les caracteristiques techniques aux prototypistes tester un prototype detecter les difficultes de montage  les non conformites (esthetique  tomber de vetement  bien-aller) et apporter des solutions techniques presenter un article ou prototype pour validation realiser les documents techniques relatifs au patron modele en vue de l'industrialisation de l'article assister techniquement (suivi des tetes de serie  explication de schema de montage) differents intervenants (technicien methodes  personnel de production) reperer les anomalies  les defauts de fabrication logiciels de modelisation et simulation appreciation esthetique appreciation visuelle (symetrie  couleur  ...) lecture de dessins  croquis couture manuelle techniques d'assemblage montage en habillement confection normes redactionnelles techniques de graduation chaussure techniques de gradation techniques de piqure machine techniques de coupe de textile  cuir techniques de digitalisation techniques de prise de mesures (habillement) procedures d'essayage ,avec_diplome_bac bac+2 bts modelisme industrie materiaux souples experience habillement confection maitrise logiciels cao dao modelisation,dessinateur   dessinatrice en maroquinerie modeliste chaussures modeliste en industrie de l'habillement et autres fabrications a base d'etoffes modeliste en industrie de l'habillement et du textile modeliste en industrie des cuirs  peaux et materiaux associes modeliste en maroquinerie modeliste industriel   industrielle modeliste-toiliste patronnier   patronniere en chaussures patronnier-gradueur   patronniere-gradueuse en chaussures patronnier metteur   patronniere metteuse au point en chaussures premier   premiere d'atelier second   seconde d'atelier technicien   technicienne bureau d'etudes des industries de la chaussure technicien   technicienne bureau d'etudes maroquinerie technicien   technicienne d'etudes en industrie des materiaux souples toiliste 
211,industrie,management et ingenierie etudes  recherche et developpement industriel h1206,concoit et finalise de nouveaux produits ou de nouvelles technologies. fait evoluer ceux deja existants  dans un objectif de developpement commercial et d'innovation en milieu industriel. definit des moyens  methodes et techniques de valorisation et de mise en oeuvre des resultats de recherche. peut superviser et coordonner un projet  une equipe  un service ou un departement. ,competences de base savoir-faire savoirs definir la faisabilite et la rentabilite d'un projet elaborer des propositions techniques definir les methodes  les moyens d'etudes et de conception et leur mise en oeuvre identifier les contraintes d'un projet determiner des axes d'evolution technologiques elaborer des solutions techniques et financieres realiser des tests et essais  analyser les resultats et determiner les mises au point du produit  du procede actualiser des dossiers techniques de definition du projet concevoir un dossier technique de definition du projet apporter une assistance technique traiter l'information (collecter  classer et mettre a jour) normes environnementales eco-conception analyse du cycle de vie - acv des produits normes qualite biochimie electricite mecanique techniques de laboratoire audit interne analyse statistique analyse des risques methodes et outils de resolution de problemes progiciels de gestion integree (pgi)   enterprise resource planning (erp) technologie de groupe assistee par ordinateur (tgao) logiciels de conception de fabrication assistee par ordinateur (cfao) conception et dessin assistes par ordinateur (cao dao) logiciels de gestion documentaire outils bureautiques ,avec_master master diplome_ingenieur technique mecanique electronique scientifique physique chimie diplome_bac+2 bts dut memes experience anglais,acousticien   acousticienne en etudes  recherche et developpement aerodynamicien   aerodynamicienne en etudes  recherche et developpement architecte produit industriel architecte spatial   spatiale en etudes  recherche et developpement assistant   assistante de recherche clinique en industrie assistant   assistante technique d'ingenieur   d'ingenieure en etudes  recherche et developpement en industrie attache   attachee de recherche clinique en industrie attache   attachee de recherche clinique pharmaceutique en industrie bioinformaticien   bioinformaticienne en etudes  recherche et developpement charge   chargee d'etudes analytiques en industrie charge   chargee d'etudes cliniques en industrie charge   chargee d'etudes galeniques en industrie charge   chargee d'etudes pharmaceutiques en industrie charge   chargee d'etudes projets industriels chef de produit etudes  recherche et developpement chef de programme d'essais en etudes et developpement en industrie chef de projet etudes industrielles chef de projet recherche et developpement eco-conception en industrie chef de projet recherche et developpement en industrie developpeur   developpeuse materiaux et procedes en industrie directeur   directrice de bureau d'etudes en industrie directeur   directrice de recherche-developpement en industrie directeur   directrice des etudes en industrie directeur   directrice des etudes et du developpement en industrie directeur   directrice technique en etudes-recherche-developpement en industrie ergonome en industrie experimentateur   experimentatrice d'essais en industrie expert   experte technologie en industrie galeniste en industrie ingenieur   ingenieure agronome en etudes  recherche et developpement ingenieur   ingenieure architecture navale ingenieur   ingenieure biochimiste en industrie ingenieur   ingenieure biologiste en industrie ingenieur   ingenieure brevet en industrie ingenieur   ingenieure chimiste en industrie ingenieur   ingenieure d'application en industrie ingenieur   ingenieure d'essais en etudes  recherche et developpement ingenieur   ingenieure d'essais en etudes et developpement en industrie ingenieur   ingenieure d'etudes-developpement ingenieur   ingenieure d'etudes en industrie ingenieur   ingenieure d'etudes-recherche-developpement en industrie ingenieur   ingenieure d'exploitation des moyens en industrie ingenieur   ingenieure de bureau d'etudes en industrie ingenieur   ingenieure de conception et developpement en industrie ingenieur   ingenieure de developpement de produits en industrie ingenieur   ingenieure de piste en industrie ingenieur   ingenieure de recherche procedes en industrie ingenieur   ingenieure de recherche produits en industrie ingenieur   ingenieure des mesures et tests en industrie ingenieur   ingenieure developpements en industrie ingenieur   ingenieure de verrerie ingenieur   ingenieure en aeronautique en industrie ingenieur   ingenieure en aerospatiale en industrie ingenieur   ingenieure en armement en industrie ingenieur   ingenieure en automatismes en industrie ingenieur   ingenieure en automobile en industrie ingenieur   ingenieure en avionique en industrie ingenieur   ingenieure en biopuce en industrie ingenieur   ingenieure en biotechnologie en industrie ingenieur   ingenieure en chimie en industrie ingenieur   ingenieure en composants electroniques en industrie ingenieur   ingenieure en cristallographie en industrie ingenieur   ingenieure en electronique grand public en industrie ingenieur   ingenieure en electronique medicale en industrie ingenieur   ingenieure en electronique professionnelle en industrie ingenieur   ingenieure en genie chimique en industrie ingenieur   ingenieure en innovations technologiques ingenieur   ingenieure en materiaux en industrie ingenieur   ingenieure en microbiologie en industrie ingenieur   ingenieure en micro-electronique en industrie ingenieur   ingenieure en nanotechnologie en industrie ingenieur   ingenieure en procedes  etudes et developpement ingenieur   ingenieure en propriete industrielle ingenieur   ingenieure en recherche analytique en industrie ingenieur   ingenieure en structures aeronautiques en industrie ingenieur   ingenieure en systemes electriques en industrie ingenieur   ingenieure en thermodynamique en industrie ingenieur   ingenieure en veille technologique en industrie ingenieur   ingenieure erd en eco-conception procedes ingenieur   ingenieure erd en eco-conception produits ingenieur   ingenieure etudes de moyens en industrie ingenieur   ingenieure etudes et procedes industriels ingenieur   ingenieure fiabilite en industrie ingenieur   ingenieure formulation en industrie ingenieur   ingenieure frigoriste en industrie ingenieur   ingenieure genie chimique en industrie ingenieur   ingenieure hydrobiologiste en industrie ingenieur   ingenieure hydrochimiste en industrie ingenieur   ingenieure instrumentation en industrie ingenieur   ingenieure metallurgiste en industrie ingenieur   ingenieure metrologie ingenieur   ingenieure militaire en recherche et developpement ingenieur   ingenieure motoriste en industrie ingenieur   ingenieure normalisation en etudes  recherche et developpement ingenieur   ingenieure plasturgiste en industrie ingenieur   ingenieure recherche developpement energies renouvelables en industrie ingenieur   ingenieure recherche developpement packaging ingenieur   ingenieure robotique en industrie ingenieur   ingenieure specification en industrie ingenieur   ingenieure systemes et simulations en industrie ingenieur   ingenieure systemes industriels ingenieur   ingenieure technique d'etudes en industrie ingenieur   ingenieure textile en industrie ingenieur   ingenieure validation systemes en industrie ingenieur biomedical   ingenieure biomedicale en industrie ingenieur calculateur   ingenieure calculatrice en industrie ingenieur charge   ingenieure chargee d'etudes industrielles ingenieur electricien   ingenieure electricienne en industrie ingenieur electronicien   ingenieure electronicienne en industrie ingenieur mecanicien   ingenieure mecanicienne en industrie ingenieur mecatronicien   ingenieure mecatronicienne en industrie ingenieur papetier   ingenieure papetiere en industrie ingenieur physicien   ingenieure physicienne en industrie ingenieur thermicien   ingenieure thermicienne en industrie integrateur   integratrice en industrie moniteur   monitrice d'etudes cliniques en industrie officier   officiere de marque de l'industrie pharmacologue de l'industrie physicien medical   physicienne medicale erd en industrie responsable d'etudes cliniques en industrie responsable d'etudes et essais en industrie responsable d'etudes industrielles responsable de bureau d'etudes en industrie responsable de projet industriel responsable de projet recherche et developpement responsable du developpement pharmaceutique en industrie responsable recherche-developpement en industrie rudologue en industrie thermicien   thermicienne de l'industrie toxicologue de l'industrie veterinaire de l'industrie 
212,industrie,redaction technique h1207,concoit et finalise la documentation technique (notices  plaquettes  manuels  catalogues  bordereaux  ...)  associee a des produits  des appareils  des equipements ou des procedes techniques  dans un objectif de declinaison et d'utilisation. effectue le suivi de coherence (vocabulaire specifique  ...) de l'ensemble de la documentation technique. peut intervenir dans un domaine ou sur un type de produit particulier en fonction du niveau de technicite requis par l'objet de sa redaction. peut encadrer une equipe de redacteurs. ,competences de base savoir-faire savoirs collecter les donnees techniques d'un produit controler la conformite de donnees collectees synthetiser des donnees techniques rediger la description d'un produit  d'un procede ou d'un equipement etablir des preconisations de mise en service etablir des preconisations d'utilisation etablir des preconisations d'entretien realiser les dessins  plans et schemas de documents techniques retoucher des illustrations de documents techniques verifier l'homogeneite d'une base documentaire controler les differentes etapes d'edition d'un ouvrage mettre a jour une nomenclature ou une codification concevoir une nomenclature ou une codification normes redactionnelles techniques documentaires normes qualite dessin industriel logiciels de gestion documentaire publication assistee par ordinateur (pao) outils bureautiques technologie de groupe assistee par ordinateur (tgao) conception et dessin assistes par ordinateur (cao dao) ,avec_diplome_bac+2 bts dut technique mecanique electronique scientifique chimie biologie avec_experience bureau etudes methodes langue_etrangere anglais,charge   chargee d'affaires en redaction technique nomenclaturiste en redaction technique redacteur   redactrice de notices techniques redacteur   redactrice technique redacteur   redactrice technique automobile redacteur   redactrice technique en aeronautique-spatial redacteur   redactrice technique en agronomie redacteur   redactrice technique en biochimie redacteur   redactrice technique en biologie redacteur   redactrice technique en chimie redacteur   redactrice technique en electricite redacteur   redactrice technique en electromecanique redacteur   redactrice technique en electronique redacteur   redactrice technique en informatique redacteur   redactrice technique en mecanique redacteur   redactrice technique en metallurgie redacteur medical   redactrice medicale en industrie responsable service redaction technique technicien redacteur   technicienne redactrice en industrie 
213,industrie,intervention technique en etudes et conception en automatisme h1208,realise des etudes de developpement d'installations ou de systemes industriels automatises  sur des applications de type « controle-commande »  de supervision courants faibles (automates programmables  terminaux hommes-machines  ...) ou courants forts (electronique de puissance  ...). effectue des reglages  des mises au point ou des mises en service d'installations. peut modifier des equipements selon l'evolution des normes. peut coordonner une equipe. ,competences de base savoir-faire savoirs concevoir les specifications de l'installation automatisee en fonction du cahier des charges realiser l'analyse fonctionnelle de l'installation et la decliner en un programme d'automatisation saisir la reinitialisation ou la modification du programme d'automatisation et le transferer vers un automate programmable determiner l'equipement electronique d'une installation realiser les dossiers d'equipement de l'installation automatisee (plan  schemas  notices d'exploitation  ...) verifier le programme d'automatisation par une serie de tests sur plate-forme d'essais  en atelier  sur site effectuer les reglages de mise en service des dispositifs et instruments commandes (verin  moteur  distributeur  transmetteurs  capteurs  regulateurs  ...) assister un client lors de la prise en main d'un outil  equipement definir les caracteristiques techniques du produit architecture reseau materiel d'automatisation informatique robotique pneumatique mecanique electrotechnique electricite dessin industriel conception d'un grafcet langages de programmation informatique automatisme normes qualite regles de securite utilisation d'appareils de mesure electrique (multimetre  ...) conception et dessin assistes par ordinateur (cao dao) outils bureautiques equipement de commande utilisation d'automate programmable industriel (api) armoires a relais informatique industrielle regulation et instrumentation techniques d'asservissement et de regulation hydraulique ,avec_diplome_bac+2 bts dut automatisme informatique industrielle electricite electronique electrotechnique mecanique avec_diplome_bac memes experience habilitation electrique maitrise langages programmation informatique anglais vocabulaire technique,automaticien   automaticienne chef de projet automaticien   automaticienne d'etudes et conception automaticien   automaticienne d'etudes sur machines d'assemblage automaticien   automaticienne en bureau d'etudes automaticien   automaticienne supervision automaticien roboticien   automaticienne roboticienne informaticien automaticien   informaticienne automaticienne integrateur   integratrice en informatique industrielle roboticien automaticien   roboticienne automaticienne superviseur automaticien   superviseuse automaticienne technicien   technicienne d'etudes en automatisme technicien   technicienne d'etudes en instrumentation-regulation technicien   technicienne d'etudes en systemes mecaniques automatises technicien   technicienne d'etudes instrumentaliste technicien   technicienne en conception de systemes automatises technicien   technicienne en informatique industrielle technicien   technicienne en robotique technicien automaticien   technicienne automaticienne d'etudes et conception technicien superieur   technicienne superieure en automatique technicien superieur   technicienne superieure en automatisme technicien superieur   technicienne superieure en automatisme et informatique industrielle technicien superieur   technicienne superieure en conception de systemes automatises 
214,industrie,intervention technique en etudes et developpement electronique h1209,realise des etudes et des essais en electronique dans le cadre du developpement et de l'evolution de composants  de sous-ensembles  d'ensembles electroniques ou electriques. peut coordonner une equipe. ,competences de base savoir-faire savoirs selectionner les composants electroniques  electriques a partir de bases de donnees  de nomenclatures fournisseurs verifier par simulation  tests  essais  calculs  les fonctionnalites et les caracteristiques du systeme electrique ou electronique realiser ou faire evoluer les schemas  les plans a partir des fonctionnalites et caracteristiques du systeme electrique ou electronique concevoir les nomenclatures des schemas et plans concevoir la partie programmee d'un systeme electronique ameliorer la partie programmee d'un systeme electronique actualiser des bibliotheques de references ou des banques de donnees techniques classer des bibliotheques de references ou des banques de donnees techniques assister techniquement les services de l'entreprise ou les clients outils bureautiques normes qualite technologie de groupe assistee par ordinateur (tgao) logiciels de conception de fabrication assistee par ordinateur (cfao) conception et dessin assistes par ordinateur (cao dao) utilisation d'appareil de mesure optique langage informatique hdl vhdl langage informatique assembleur langage informatique c c++ architecture des systemes electroniques regulation et instrumentation metrologie contraintes electromagnetiques normes de securite electrique logiciels de modelisation et simulation ,avec_bts dut electronique electrotechnique langue_etrangere anglais maitrise langages programmation informatiques assembleur hdl c c++,agent technique electronicien   agente technique electronicienne en etudes et developpement concepteur developpeur   conceptrice developpeuse de systeme electronique technicien   technicienne de laboratoire en electricite etudes et developpement technicien   technicienne en electricite et electronique etudes et developpement technicien   technicienne en electronique etudes et developpement technicien   technicienne en electrotechnique etudes et developpement technicien   technicienne en microelectronique etudes et developpement technicien   technicienne en telecommunications etudes et developpement technicien   technicienne etudes electriques technicien   technicienne processus en electricite-electronique etudes et developpement technicien   technicienne validation systemes en electrique et electronique technicien electromecanicien   technicienne electromecanicienne en etudes et developpement technicien electronicien   technicienne electronicienne d'etudes technicien electronicien   technicienne electronicienne de developpement technicien electronicien   technicienne electronicienne de laboratoire en etudes et developpement 
215,industrie,intervention technique en etudes  recherche et developpement h1210,prepare des experimentations  tests et essais. effectue des mesures et des analyses de caracteristiques biologiques  chimiques ou physiques. realise une mise au point de produits  de techniques ou d'appareillages au moyen de materiel de laboratoire. intervient selon un protocole de recherche et de developpement. peut coordonner une equipe. ,competences de base savoir-faire savoirs controler la conformite d'un equipement de laboratoire controler l'etat d'un echantillon de laboratoire preparer des echantillons et realiser le montage de tests et d'essais selon un protocole realiser les mesures et les analyses  identifier des non-conformites et realiser des ajustements techniques relever les donnees et les consigner dans les cahiers de laboratoire  les bases de donnees  les registres  les comptes rendus concevoir des consignes  procedures  cahiers des charges  rapports d'etudes a partir des resultats de tests et d'essais realiser la maintenance de premier niveau d'equipements de laboratoire analyse physico-chimique environnementale analyse statistique metrologie methodes et outils de resolution de problemes biochimie outils bureautiques sciences physiques logiciels de gestion documentaire qualite  hygiene  securite et environnement (qhse) bonnes pratiques de laboratoire -bpl- chimie biologie logiciels de gestion de base de donnees ,avec_diplome_bac+2 bts dut l2 technique mecanique metallurgie scientifique chimie biologie physique avec_diplome_bac bac brevet_scientifique technique experience meme formations genetique utilisation equipements exigees vaccinations requises,agent   agente de laboratoire de recherche industrielle assistant   assistante de laboratoire de recherche assistant   assistante en instrumentation scientifique et techniques experimentales assistant   assistante technique d'etudes en recherche assistant   assistante technique d'experimentation assistant   assistante technique de recherche preparateur   preparatrice en laboratoire de recherche technicien   technicienne analyses et essais en recherche et developpement technicien   technicienne biologiste en recherche-developpement technicien   technicienne chimiste en recherche-developpement technicien   technicienne d'analyse et d'essais metallurgique technicien   technicienne d'essais materiaux en recherche-developpement technicien   technicienne d'etudes cliniques technicien   technicienne d'experimentation en recherche technicien   technicienne d'experimentation en recherche-developpement technicien   technicienne d'instrumentation scientifique technicien   technicienne de developpement technologique technicien   technicienne de laboratoire d'essais technicien   technicienne de laboratoire de developpement analytique technicien   technicienne de laboratoire de recherche technicien   technicienne de la police technique et scientifique technicien   technicienne de mesure-essai en recherche et developpement technicien   technicienne de mesures aerodynamiques technicien   technicienne de recherche alimentaire technicien   technicienne de recherche appliquee technicien   technicienne en developpement technicien   technicienne en developpement de procedes technicien   technicienne en developpement systemes laser technicien   technicienne en experimentation animale technicien   technicienne en experimentation vegetale technicien   technicienne en materiaux en recherche-developpement technicien   technicienne en mesures physiques en recherche-developpement technicien   technicienne en mesures physiques et essais technicien   technicienne en recherche-developpement technicien   technicienne en recherche scientifique technicien   technicienne en sciences des materiaux technicien   technicienne en systeme naturels technicien   technicienne en techniques experimentales technicien   technicienne erd en acoustique technicien   technicienne galeniste technicien   technicienne laboratoire de recherche-developpement technicien   technicienne metallurgiste en recherche et developpement technicien   technicienne sur grand instrument de recherche technicien physicien   technicienne physicienne de laboratoire de recherche-developpement 
216,industrie,inspection de conformite h1301,realise des inspections et des verifications techniques et normatives dans un objectif de suivi  de mise en conformite reglementaire et de fiabilisation des equipements  materiels  installations industrielles et batiments recevant du public. peut coordonner une equipe. ,competences de base savoir-faire savoirs verifier la conformite reglementaire et fonctionnelle des equipements et installations au moyen de controles  mesures  essais et releves reperer une anomalie ou un dysfonctionnement identifier un facteur a risque pour le personnel  les equipements ou l'installation renseigner les supports de controle et de constat (listes  grilles  documents  fiches  ...) realiser les rapports de controles et de diagnostics d'anomalie ou de risque et les transmettre aux services production  maintenance  securite... conseiller et prescrire des solutions techniques correctives  preventives ou d'amelioration des equipements outils bureautiques qualite  hygiene  securite et environnement (qhse) metrologie utilisation de materiel de controle et mesure ,avec_diplome_bac+2 bts dut entreprise alimentaire automobile mecanique master master diplome_ingenieur fonction technicite habilitation specifique electrique soudure radioprotection langue_etrangere anglais,inspecteur   inspectrice d'inspection reglementaire de conformite inspecteur   inspectrice de conformite d'ascenseurs inspecteur   inspectrice de conformite d'equipements sous pression inspecteur   inspectrice de conformite d'equipements sportifs et aires de jeux inspecteur   inspectrice de conformite d'unites d'exploitation inspecteur   inspectrice de conformite de materiel inspecteur   inspectrice de conformite en electricite inspecteur   inspectrice de conformite en environnement inspecteur   inspectrice de conformite en gaz inspecteur   inspectrice de conformite en levage inspecteur   inspectrice de conformite en pression soudage inspecteur   inspectrice de conformite en securite incendie inspecteur   inspectrice de conformite en thermique inspecteur   inspectrice de controle de conformite inspecteur   inspectrice de mise en conformite inspecteur   inspectrice en inspection reglementaire pression inspecteur preventeur   inspectrice preventrice de conformite responsable activite inspection reglementaire de conformite responsable inspection technique technicien   technicienne de controle de conformite technicien   technicienne de non-conformite technicien   technicienne inspection de conformite verificateur   verificatrice de conformite de securite industrielle verificateur   verificatrice de conformite des installations electriques verificateur   verificatrice de conformite des installations electriques d'avion verificateur   verificatrice technique de conformite visiteur-verificateur   visiteuse-verificatrice de conformite 
217,industrie,management et ingenierie hygiene securite environnement -hse- industriels h1302,definit la politique de securite (securite au travail  conditions de travail  protection de l'environnement)  la met en place et en assure le suivi selon les normes et la reglementation hygiene  securite et environnement. peut coordonner une equipe. peut diriger un service. ,competences de base savoir-faire savoirs construire un plan d'action qse concevoir un systeme de management qualite securite environnement (qse) mettre en place des procedures qualite controler l'application de procedures qualite  hygiene  securite et environnement (qhse) former a une demarche hygiene  securite et environnement (hse) promouvoir des procedures hygiene  securite et environnement (hse) effectuer des operations de controle de conformite analyser un dysfonctionnement ou une non-conformite determiner les causes de dysfonctionnements determiner des actions correctives determiner les evolutions et ameliorations d'une demarche qualite controler des donnees qualite apporter un appui technique aux services qualite  maintenance  methodes chimie toxicologie ergonomie ecologie qualite  hygiene  securite et environnement (qhse) normes environnementales reglementation des installations classees pour la protection de l'environnement - icpe reglementation du transport de matieres et produits dangereux techniques de protection et de prevention des pollutions caracteristiques des equipements de protection reglementation securite incendie analyse des risques typologie des risques environnementaux et sanitaires typologie des risques professionnels analyse des risques professionnels management des risques professionnels audit interne techniques pedagogiques progiciels de gestion integree (pgi)   enterprise resource planning (erp) outils bureautiques ,avec_master master recherche diplome_ingenieur hygiene securite travail environnement risques industriels entreprise aeronautique electricite papier avec_diplome_bac+2 bts dut ces experience industrie habilitation realisation audits anglais,adjoint   adjointe au responsable environnement-hygiene-securite en industrie charge   chargee de l'hygiene et de la securite du travail en industrie chef de service prevention generale et ergonomie chef du service environnement en industrie chef du service environnement-hygiene-securite en industrie chef du service hygiene-securite en industrie chef du service securite en industrie commissaire-inspecteur   commissaire-inspectrice des installations classees coordonnateur   coordonnatrice de securite et protection de la sante en industrie cyndinicien   cyndinicienne directeur   directrice en maitrise des risques industriels directeur   directrice hygiene  securite et environnement en industrie -hse- expert   experte des risques technologiques expert   experte en environnement industriel ingenieur   ingenieure conseil en prevention des risques industriels ingenieur   ingenieure criticite en risques technologiques ingenieur   ingenieure de recherche en hygiene  securite et environnement en industrie ingenieur   ingenieure en eco-conception ingenieur   ingenieure en gestion des risques industriels ingenieur   ingenieure en maitrise des risques industriels ingenieur   ingenieure en prevention des risques industriels ingenieur   ingenieure en radioprotection ingenieur   ingenieure en traitement des dechets industriels ingenieur   ingenieure environnementaliste ingenieur   ingenieure environnement en industrie ingenieur   ingenieure environnement-hygiene-securite en industrie ingenieur   ingenieure hygiene  securite et environnement en industrie -hse- ingenieur   ingenieure prevention en industrie ingenieur   ingenieure prevention-securite en industrie ingenieur   ingenieure securite des procedes industriels ingenieur   ingenieure securite en industrie ingenieur   ingenieure securite environnement en industrie ingenieur   ingenieure surete en industrie nucleaire inspecteur   inspectrice de sites industriels officier   officiere securite en risques technologiques responsable du service hygiene-securite responsable du service securite en industrie responsable du service surete en industrie nucleaire responsable environnement en industrie responsable environnement-hygiene-securite en industrie responsable securite de fonctionnement en industrie traitant   traitante hygiene  securite  conditions de travail traitant   traitante protection environnement 
218,industrie,intervention technique en hygiene securite environnement -hse- industriel h1303,suit et verifie la declinaison des regles d'hygiene  securite et environnement aupres des equipes et des installations par rapport a la reglementation et aux normes. identifie des evolutions de prevention des risques (consignes  methodes  moyens de protection ...) et suit leur mise en oeuvre dans un objectif de protection et de reduction des impacts et des risques de l'activite industrielle sur les personnes  les biens et l'environnement. peut coordonner une equipe. ,competences de base savoir-faire savoirs controler l'application de procedures qualite  hygiene  securite et environnement (qhse) analyser un dysfonctionnement ou une non-conformite definir des mesures de prevention des risques suivre des indicateurs etablir un rapport d'accident et d'incident etablir un compte rendu d'analyse former a une demarche hygiene  securite et environnement (hse) promouvoir des procedures hygiene  securite et environnement (hse) techniques de protection et de prevention des pollutions outils bureautiques utilisation de materiel de controle et mesure reglementation du transport de matieres et produits dangereux techniques pedagogiques caracteristiques des equipements de protection qualite  hygiene  securite et environnement (qhse) toxicologie ergonomie analyse des risques reglementation securite incendie reglementation des installations classees pour la protection de l'environnement - icpe normes environnementales chimie ,avec_diplome_bac+2 bts dut hygiene securite environnement technique scientifique entreprise habilitations radioprotection electricite audit vaccinations particulieres requises selon activite anglais vocabulaire technique,animateur   animatrice en dechets en industrie animateur   animatrice en hygiene securite environnement -hse- animateur   animatrice en securite du travail animateur   animatrice securite environnement controleur   controleuse de securite en risques industriels technicien   technicienne en analyse de pollution technicien   technicienne en environnement  securite et conditions de travail technicien   technicienne en environnement industriel technicien   technicienne en genie sanitaire en industrie technicien   technicienne en hygiene  securite  environnement industriel -hse- technicien   technicienne en hygiene et environnement technicien   technicienne en prevention des risques industriels technicien   technicienne en radioprotection technicien   technicienne en securite industrielle 
